import time: self [us] | cumulative | imported package
import time:        71 |         71 | winreg
import time:       149 |        149 |   _io
import time:        24 |         24 |   marshal
import time:       154 |        154 |   nt
import time:       529 |        856 | _frozen_importlib_external
import time:       656 |        656 |   time
import time:       188 |        844 | zipimport
import time:        55 |         55 |     _codecs
import time:       564 |        619 |   codecs
import time:       963 |        963 |   encodings.aliases
import time:      3349 |       4930 | encodings
import time:      1007 |       1007 | encodings.utf_8
import time:        49 |         49 |   _codecs_cn
import time:        48 |         48 |   _multibytecodec
import time:       655 |        751 | encodings.gbk
import time:        39 |         39 | _signal
import time:        25 |         25 |     _abc
import time:       150 |        175 |   abc
import time:       115 |        289 | io
import time:        57 |         57 |       _stat
import time:        88 |        145 |     stat
import time:       749 |        749 |     _collections_abc
import time:        73 |         73 |       genericpath
import time:        87 |         87 |       _winapi
import time:       353 |        511 |     ntpath
import time:       647 |       2052 |   os
import time:       109 |        109 |   _sitebuiltins
import time:        76 |         76 |   errno
import time:       844 |        844 |   encodings.utf_8_sig
import time:       620 |        620 |     __future__
import time:       461 |        461 |       importlib
import time:        69 |        530 |     importlib.machinery
import time:       552 |        552 |       importlib._abc
import time:       637 |        637 |       types
import time:       160 |       1348 |     importlib.util
import time:       123 |        123 |     itertools
import time:       544 |        544 |             keyword
import time:        79 |         79 |               _operator
import time:       552 |        631 |             operator
import time:       511 |        511 |             reprlib
import time:       276 |        276 |             _collections
import time:      1042 |       3002 |           collections
import time:        44 |         44 |           _functools
import time:       896 |       3941 |         functools
import time:       926 |        926 |           contextlib
import time:      1636 |       1636 |             enum
import time:        80 |         80 |               _sre
import time:       754 |        754 |                 re._constants
import time:       762 |       1516 |               re._parser
import time:       499 |        499 |               re._casefix
import time:       977 |       3071 |             re._compiler
import time:       551 |        551 |             copyreg
import time:       923 |       6180 |           re
import time:       113 |        113 |               posix
import time:        64 |         64 |               posix
import time:       160 |        336 |             posixpath
import time:       494 |        830 |           fnmatch
import time:       912 |       8846 |         glob
import time:       850 |      13636 |       pathlib._abc
import time:       632 |        632 |         warnings
import time:        93 |         93 |         pwd
import time:        62 |         62 |         grp
import time:       914 |       1699 |       pathlib._local
import time:       592 |      15927 |     pathlib
import time:      1966 |      20511 |   __editable___sqc_1_0_0_finder
import time:       687 |        687 |   _distutils_hack
import time:       521 |        521 |   sitecustomize
import time:       142 |        142 |   usercustomize
import time:      3381 |      28319 | site
import time:       688 |        688 | linecache
import time:       561 |        561 |   sqc
import time:      6069 |       6069 |           _ctypes
import time:       101 |        101 |             _struct
import time:       900 |       1000 |           struct
import time:       788 |        788 |           ctypes._endian
import time:      1818 |       9673 |         ctypes
import time:      2161 |       2161 |           _wmi
import time:      1013 |       3174 |         platform
import time:      1119 |       1119 |           numpy.version
