kind,strategy,drive_mode,n,lock_rate,solver_calls_mean,solver_calls_std
budget,ramsey_baseline,track,1,0.0,400.0,0.0
budget,short_pulse,track,1,0.0,400.0,0.0
deterministic,ramsey_baseline,track,3,1.0,5628.666666666667,923.7604307034012
deterministic,short_pulse,track,3,1.0,3298.6666666666665,556.5656594987993
drive_ablation,short_pulse,fixed,1,0.0,564.0,0.0
drive_ablation,short_pulse,track,1,1.0,3620.0,0.0
finite_shot,ramsey_baseline,track,12,1.0,6228.666666666667,230.94010767585033
finite_shot,short_pulse,track,12,1.0,3285.0,816.9105881863137
process,ramsey_baseline,track,8,0.75,10521.5,3267.8032376506394
process,short_pulse,track,8,0.875,5850.5,1336.569489401879
