run_id,kind,strategy,target_mhz,seed,drive_mode,completed_verified_lock,completion_event,solver_calls,physical_shots,directory,locked
deterministic__short_pulse__track__m12.0mhz__det,deterministic,short_pulse,-12.0,,track,True,verify_to_lock,3620,0,paper/data/fig3-simulation/runs/deterministic__short_pulse__track__m12.0mhz__det,True
deterministic__ramsey_baseline__track__m12.0mhz__det,deterministic,ramsey_baseline,-12.0,,track,True,verify_to_lock,6162,0,paper/data/fig3-simulation/runs/deterministic__ramsey_baseline__track__m12.0mhz__det,True
deterministic__short_pulse__track__m10.0mhz__det,deterministic,short_pulse,-10.0,,track,True,verify_to_lock,3620,0,paper/data/fig3-simulation/runs/deterministic__short_pulse__track__m10.0mhz__det,True
deterministic__ramsey_baseline__track__m10.0mhz__det,deterministic,ramsey_baseline,-10.0,,track,True,verify_to_lock,6162,0,paper/data/fig3-simulation/runs/deterministic__ramsey_baseline__track__m10.0mhz__det,True
deterministic__short_pulse__track__m8.0mhz__det,deterministic,short_pulse,-8.0,,track,True,verify_to_lock,2656,0,paper/data/fig3-simulation/runs/deterministic__short_pulse__track__m8.0mhz__det,True
deterministic__ramsey_baseline__track__m8.0mhz__det,deterministic,ramsey_baseline,-8.0,,track,True,verify_to_lock,4562,0,paper/data/fig3-simulation/runs/deterministic__ramsey_baseline__track__m8.0mhz__det,True
finite_shot__short_pulse__track__m10.0mhz__s20260813,finite_shot,short_pulse,-10.0,20260813,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260813,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260813,finite_shot,ramsey_baseline,-10.0,20260813,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260813,True
finite_shot__short_pulse__track__m10.0mhz__s20260814,finite_shot,short_pulse,-10.0,20260814,track,True,verify_to_lock,3620,432204,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260814,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260814,finite_shot,ramsey_baseline,-10.0,20260814,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260814,True
finite_shot__short_pulse__track__m10.0mhz__s20260815,finite_shot,short_pulse,-10.0,20260815,track,True,verify_to_lock,3620,432204,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260815,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260815,finite_shot,ramsey_baseline,-10.0,20260815,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260815,True
finite_shot__short_pulse__track__m10.0mhz__s20260816,finite_shot,short_pulse,-10.0,20260816,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260816,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260816,finite_shot,ramsey_baseline,-10.0,20260816,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260816,True
finite_shot__short_pulse__track__m10.0mhz__s20260817,finite_shot,short_pulse,-10.0,20260817,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260817,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260817,finite_shot,ramsey_baseline,-10.0,20260817,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260817,True
finite_shot__short_pulse__track__m10.0mhz__s20260818,finite_shot,short_pulse,-10.0,20260818,track,True,verify_to_lock,3620,432204,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260818,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260818,finite_shot,ramsey_baseline,-10.0,20260818,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260818,True
finite_shot__short_pulse__track__m10.0mhz__s20260819,finite_shot,short_pulse,-10.0,20260819,track,True,verify_to_lock,3620,432204,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260819,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260819,finite_shot,ramsey_baseline,-10.0,20260819,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260819,True
finite_shot__short_pulse__track__m10.0mhz__s20260820,finite_shot,short_pulse,-10.0,20260820,track,True,verify_to_lock,5384,443852,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260820,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260820,finite_shot,ramsey_baseline,-10.0,20260820,track,True,verify_to_lock,6962,448012,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260820,True
finite_shot__short_pulse__track__m10.0mhz__s20260821,finite_shot,short_pulse,-10.0,20260821,track,True,verify_to_lock,3620,432204,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260821,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260821,finite_shot,ramsey_baseline,-10.0,20260821,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260821,True
finite_shot__short_pulse__track__m10.0mhz__s20260822,finite_shot,short_pulse,-10.0,20260822,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260822,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260822,finite_shot,ramsey_baseline,-10.0,20260822,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260822,True
finite_shot__short_pulse__track__m10.0mhz__s20260823,finite_shot,short_pulse,-10.0,20260823,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260823,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260823,finite_shot,ramsey_baseline,-10.0,20260823,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260823,True
finite_shot__short_pulse__track__m10.0mhz__s20260824,finite_shot,short_pulse,-10.0,20260824,track,True,verify_to_lock,2656,425356,paper/data/fig3-simulation/runs/finite_shot__short_pulse__track__m10.0mhz__s20260824,True
finite_shot__ramsey_baseline__track__m10.0mhz__s20260824,finite_shot,ramsey_baseline,-10.0,20260824,track,True,verify_to_lock,6162,443212,paper/data/fig3-simulation/runs/finite_shot__ramsey_baseline__track__m10.0mhz__s20260824,True
process__short_pulse__track__m10.0mhz__s20260900,process,short_pulse,-10.0,20260900,track,True,verify_to_lock,5548,445900,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260900,True
process__ramsey_baseline__track__m10.0mhz__s20260900,process,ramsey_baseline,-10.0,20260900,track,False,,15600,500800,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260900,False
process__short_pulse__track__m10.0mhz__s20260901,process,short_pulse,-10.0,20260901,track,False,,8604,470528,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260901,False
process__ramsey_baseline__track__m10.0mhz__s20260901,process,ramsey_baseline,-10.0,20260901,track,True,verify_to_lock,6962,448012,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260901,True
process__short_pulse__track__m10.0mhz__s20260902,process,short_pulse,-10.0,20260902,track,True,verify_to_lock,5712,447948,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260902,True
process__ramsey_baseline__track__m10.0mhz__s20260902,process,ramsey_baseline,-10.0,20260902,track,True,verify_to_lock,9362,462412,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260902,True
process__short_pulse__track__m10.0mhz__s20260903,process,short_pulse,-10.0,20260903,track,True,verify_to_lock,4584,439052,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260903,True
process__ramsey_baseline__track__m10.0mhz__s20260903,process,ramsey_baseline,-10.0,20260903,track,True,verify_to_lock,8562,457612,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260903,True
process__short_pulse__track__m10.0mhz__s20260904,process,short_pulse,-10.0,20260904,track,True,verify_to_lock,5548,445900,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260904,True
process__ramsey_baseline__track__m10.0mhz__s20260904,process,ramsey_baseline,-10.0,20260904,track,True,verify_to_lock,9362,462412,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260904,True
process__short_pulse__track__m10.0mhz__s20260905,process,short_pulse,-10.0,20260905,track,True,verify_to_lock,5548,445900,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260905,True
process__ramsey_baseline__track__m10.0mhz__s20260905,process,ramsey_baseline,-10.0,20260905,track,True,verify_to_lock,8562,457612,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260905,True
process__short_pulse__track__m10.0mhz__s20260906,process,short_pulse,-10.0,20260906,track,True,verify_to_lock,4420,437004,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260906,True
process__ramsey_baseline__track__m10.0mhz__s20260906,process,ramsey_baseline,-10.0,20260906,track,True,verify_to_lock,10162,467212,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260906,True
process__short_pulse__track__m10.0mhz__s20260907,process,short_pulse,-10.0,20260907,track,True,verify_to_lock,6840,456844,paper/data/fig3-simulation/runs/process__short_pulse__track__m10.0mhz__s20260907,True
process__ramsey_baseline__track__m10.0mhz__s20260907,process,ramsey_baseline,-10.0,20260907,track,False,,15600,500800,paper/data/fig3-simulation/runs/process__ramsey_baseline__track__m10.0mhz__s20260907,False
