run_id,strategy,seed,step,state_before,state_after,locked
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,0,acquire,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,1,track,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,2,track,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,3,track,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,4,verify,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,5,track,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,6,verify,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,7,track,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,8,verify,track,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,9,track,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,10,verify,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,11,verify,lock,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,12,lock,verify,True
process__short_pulse__track__m10.0mhz__s20260900,short_pulse,20260900,13,safe_stop,safe_stop,True
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,0,acquire,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,1,track,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,2,track,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,3,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,4,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,5,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,6,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,7,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,8,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,9,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,10,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,11,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,12,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,13,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,14,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,15,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,16,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,17,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,18,verify,track,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,19,track,verify,False
process__ramsey_baseline__track__m10.0mhz__s20260900,ramsey_baseline,20260900,20,safe_stop,safe_stop,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,0,acquire,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,1,track,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,2,track,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,3,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,4,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,5,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,6,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,7,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,8,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,9,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,10,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,11,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,12,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,13,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,14,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,15,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,16,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,17,track,verify,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,18,verify,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,19,track,track,False
process__short_pulse__track__m10.0mhz__s20260901,short_pulse,20260901,20,safe_stop,safe_stop,False
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,0,acquire,track,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,1,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,2,track,track,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,3,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,4,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,5,verify,track,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,6,track,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,7,verify,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,8,verify,lock,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,9,lock,verify,True
process__ramsey_baseline__track__m10.0mhz__s20260901,ramsey_baseline,20260901,10,safe_stop,safe_stop,True
