D2 Gaussian-pulse parameter preview
========================================================================
Control: Gaussian envelope, sigma=T_p/5, Wiener lambda_W=5
Resolution: first scanned spacing satisfying Cv, NRMSE and peak-position criteria

alpha=$\pi/6$, T_p=   4 ns: sigma_k=1.1211 ns, Delta_t_min=nan ns
alpha=$\pi/6$, T_p=   6 ns: sigma_k=1.5792 ns, Delta_t_min=nan ns
alpha=$\pi/6$, T_p=   8 ns: sigma_k=2.1084 ns, Delta_t_min=16.0000 ns
alpha=$\pi/6$, T_p=  10 ns: sigma_k=2.6589 ns, Delta_t_min=16.0000 ns
alpha=$\pi/4$, T_p=   4 ns: sigma_k=1.1337 ns, Delta_t_min=14.0000 ns
alpha=$\pi/4$, T_p=   6 ns: sigma_k=1.6017 ns, Delta_t_min=14.0000 ns
alpha=$\pi/4$, T_p=   8 ns: sigma_k=2.1405 ns, Delta_t_min=15.0000 ns
alpha=$\pi/4$, T_p=  10 ns: sigma_k=2.7004 ns, Delta_t_min=15.0000 ns
alpha=$\pi/2$, T_p=   4 ns: sigma_k=1.2147 ns, Delta_t_min=14.0000 ns
alpha=$\pi/2$, T_p=   6 ns: sigma_k=1.7438 ns, Delta_t_min=14.0000 ns
alpha=$\pi/2$, T_p=   8 ns: sigma_k=2.3418 ns, Delta_t_min=14.0000 ns
alpha=$\pi/2$, T_p=  10 ns: sigma_k=2.9602 ns, Delta_t_min=15.0000 ns

Sensitivity at T_p=10 ns (A_min for SNR>=3)
alpha=$\pi/6$, N_shot=  1000: A_min=1.065869e-03, sigma0=3.050653e-04
alpha=$\pi/6$, N_shot= 10000: A_min=3.054612e-04, sigma0=8.624430e-05
alpha=$\pi/6$, N_shot=100000: A_min=1.038367e-04, sigma0=2.839958e-05
alpha=$\pi/4$, N_shot=  1000: A_min=5.873458e-04, sigma0=2.014000e-04
alpha=$\pi/4$, N_shot= 10000: A_min=2.159003e-04, sigma0=6.708169e-05
alpha=$\pi/4$, N_shot=100000: A_min=6.438413e-05, sigma0=2.035475e-05
alpha=$\pi/2$, N_shot=  1000: A_min=3.377030e-04, sigma0=1.082656e-04
alpha=$\pi/2$, N_shot= 10000: A_min=9.688410e-05, sigma0=3.215712e-05
alpha=$\pi/2$, N_shot=100000: A_min=3.452693e-05, sigma0=1.138111e-05
